,Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,state,Rent,Carpet Area (ft²)nan,Maintenance (Monthly)nan
135,Apartments,1,1,Semi-Furnished,475.0,1000.0,North,4, Maharashtra,28000,0,0
136,Apartments,2,1,Unfurnished,650.0,0.0,West,3, Maharashtra,23000,0,0
137,Apartments,1,1,Unfurnished,800.0,300.0,others,1, Maharashtra,5000,0,1
138,Apartments,2,2,Furnished,610.0,2000.0,East,10, Maharashtra,16000,0,0
139,Apartments,1,1,Unfurnished,450.0,7000.0,West,7, Maharashtra,7000,0,0
140,Apartments,2,2,Unfurnished,550.0,500.0,East,7, Maharashtra,12000,0,0
141,Apartments,2,2,Semi-Furnished,1000.0,300.0,others,7, Maharashtra,3000,0,1
142,Apartments,2,2,Unfurnished,585.0,0.0,West,7, Maharashtra,14000,0,0
143,Houses & Villas,1,1,Furnished,180.0,200.0,East,2, Maharashtra,6200,0,0
144,Apartments,2,2,Semi-Furnished,650.0,0.0,East,4, Maharashtra,35000,0,0
145,Apartments,2,2,Semi-Furnished,800.0,500.0,East,3, Maharashtra,8000,0,0
146,Builder Floors,1,2,Unfurnished,1100.0,0.0,West,0, Maharashtra,7000,0,0
147,Apartments,1,1,Unfurnished,560.0,750.0,South,4, Maharashtra,7800,0,0
148,Apartments,1,1,Furnished,500.0,1000.0,North-East,15, Maharashtra,400000,0,0
149,Apartments,1,1,Semi-Furnished,380.0,0.0,East,7, Maharashtra,4500,0,0
150,Apartments,2,1,Unfurnished,811.0,300.0,others,2, Maharashtra,10000,0,1
151,Apartments,1,1,Unfurnished,480.0,0.0,East,2, Maharashtra,10000,0,0
152,Houses & Villas,1,1,Unfurnished,200.0,0.0,East,2, Maharashtra,3800,0,0
153,Apartments,4,3,Semi-Furnished,1500.0,0.0,East,3, Maharashtra,30000,0,0
154,Apartments,2,2,Semi-Furnished,1100.0,1000.0,North-East,6, Maharashtra,10000,0,0
155,Houses & Villas,1,1,Unfurnished,150.0,7000.0,North-West,1, Maharashtra,7000,0,0
156,Builder Floors,3,3,Semi-Furnished,1000.0,450.0,North-East,3, Maharashtra,3000000,0,0
157,Apartments,1,2,Semi-Furnished,550.0,0.0,East,6, Maharashtra,12000,0,0
158,Apartments,2,2,Furnished,750.0,0.0,East,7, Maharashtra,6500,0,0
159,Houses & Villas,3,3,Semi-Furnished,1400.0,0.0,North-East,2, Maharashtra,16500,0,0
160,Builder Floors,1,1,Furnished,175.0,250.0,South,3, Maharashtra,3500,0,0
161,Apartments,2,2,Unfurnished,700.0,1000.0,East,4, Maharashtra,9000,0,0
162,Apartments,1,1,Furnished,635.0,0.0,East,6, Maharashtra,15000,0,0
163,Apartments,2,2,Unfurnished,500.0,3000.0,East,22, Maharashtra,16000,0,0
164,Apartments,1,1,Unfurnished,600.0,500.0,North-East,5, Maharashtra,14000,0,0
165,Apartments,1,1,Semi-Furnished,580.0,100.0,East,3, Maharashtra,8000,0,0
166,Apartments,2,2,Unfurnished,800.0,0.0,South-East,12, Maharashtra,7000,0,0
167,Apartments,1,1,Semi-Furnished,350.0,670.0,North-East,3, Maharashtra,6500,0,0
168,Houses & Villas,2,1,Unfurnished,1000.0,8000.0,North-West,0, Maharashtra,8000,0,0
169,Houses & Villas,1,1,Unfurnished,600.0,0.0,East,3, Maharashtra,5500,0,0
170,Houses & Villas,5,5,Furnished,2400.0,0.0,West,1, Maharashtra,120000,0,0
171,Apartments,1,1,Semi-Furnished,650.0,200.0,South,3, Maharashtra,10500,0,0
172,Apartments,2,1,Semi-Furnished,825.0,600.0,East,3, Maharashtra,16500,0,0
173,Apartments,1,1,Furnished,450.0,0.0,North-East,4, Maharashtra,10500,0,0
174,Apartments,2,2,Unfurnished,650.0,100.0,West,3, Maharashtra,8000,0,0
175,Apartments,2,2,Furnished,360.0,600.0,East,2, Maharashtra,13500,0,0
176,Apartments,2,2,Semi-Furnished,750.0,0.0,East,11, Maharashtra,5500,0,0
177,Builder Floors,1,1,Unfurnished,400.0,0.0,East,3, Maharashtra,9000,0,0
178,Apartments,1,1,Furnished,240.0,300.0,others,3, Maharashtra,13000,0,1
179,Apartments,1,1,Semi-Furnished,400.0,300.0,others,1, Maharashtra,18000,0,1
